id,name,active,region_key,region_label,court_type,platform,operator,priority,address,booking_url,public_url,lat,lon,maps_id,platform_id,etennis_id,eversports_slug,eversports_facility_id,eversports_court_ids,notes,issues,slot_fallback_minutes
sportcenter-donaucity,Sportcenter Donaucity,true,wien,Wien,outdoor,eversports,BSV,5,"Arbeiterstrandbadstraße 128, 1220 Wien",https://www.eversports.at/sb/sportcenter-donaucity,https://www.eversports.at/sb/sportcenter-donaucity,48.2476 ,16.4189 ,"https://www.google.com/maps?q=48.2476,16.4189 ",sportcenter-donaucity,,sportcenter-donaucity,,,,phone_booking_only
padelzone-wien-floridsdorf,Padelzone Wien Floridsdorf,true,wien,Wien,indoor_outdoor,eversports,Padelzone,8,"Katharina-Scheiter-Gasse 1, 1210 Wien",https://www.eversports.at/sb/padelzone-wien-or-floridsdorf-powered-by-cupra,https://www.eversports.at/sb/padelzone-wien-or-floridsdorf-powered-by-cupra,48.2850 ,16.4025 ,"https://www.google.com/maps?q=48.2850,16.4025 ",padelzone-wien-or-floridsdorf-powered-by-cupra,,padelzone-wien-or-floridsdorf-powered-by-cupra,78472,98662|98663|98664|98665|99442|99443|99444|99445,,
padelbase-wien,Padelbase Wien,true,wien,Wien,outdoor,etennis,Padelbase,7,"Jennerplatz 25, 1130 Wien",https://www.buchung-padelbase.at/reservierung?c=3532,https://www.buchung-padelbase.at/reservierung?c=3532,48.1865 ,16.2667 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476da710fe7dcd3b:0x96791648b752f7c0?sa=X&ved=1t:8290&ictx=111 ,3532,3532,,,
padelzone-wr-neustadt-arena-27,Padelzone Wr. Neustadt Arena 27,true,noe-sued,NOE Sued,indoor,eversports,Padelzone,4,"Wiener-Straße-Werkstraße 109, 2700 Wiener Neustadt",https://www.eversports.at/sb/padelzone-wiener-neustadt-or-arena-27,https://www.eversports.at/sb/padelzone-wiener-neustadt-or-arena-27,47.8126 ,16.2438 ,"https://www.google.com/maps?q=47.8126,16.2438 ",padelzone-wiener-neustadt-or-arena-27,,padelzone-wiener-neustadt-or-arena-27,77873,91337|91338|91339|91340|91341|91342|91343,,
padeldome-alte-donau-outdoor,Padeldome Alte Donau outdoor,true,wien,Wien,outdoor,etennis,Padeldome,2,"Arbeiterstrandbadstraße 87A, 1210 Wien",https://www.padeldome.wien/reservierung?c=3218,https://www.padeldome.wien/reservierung?c=3218,48.2580 ,16.4155 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476d07d2957e2667:0xd67f2f4022214a7d?sa=X&ved=1t:8290&ictx=111 ,3218,3218,,,
padelzone-traiskirchen,Padelzone Traiskirchen,true,bad-voeslau,Bad Voeslau,indoor,eversports,Padelzone,1,"Wienersdorfer Straße 20-24, 2514 Traiskirchen",https://www.eversports.at/sb/padelzone-traiskirchen,https://www.eversports.at/sb/padelzone-traiskirchen,48.010698 ,16.289138 ,"https://www.google.com/maps?q=48.010698,16.289138 ",padelzone-traiskirchen,,padelzone-traiskirchen,79237,101686|101687|101688|101689,,
racketworld-wien,Racketworld Wien,true,wien,Wien,indoor,etennis,Racketworld,8,"Kendlerstraße 47, 1160 Wien",https://www.racketworld.wien/reservierung?c=3660,https://www.racketworld.wien/reservierung?c=3660,48.2105 ,16.3059 ,"https://www.google.com/maps?q=48.2105,16.3059 ",3660,3660,,,
padeldome-alt-erlaa,Padeldome Alt Erlaa,true,wien-sued,Wien Sued,indoor,etennis,Padeldome,1,"Anton-Baumgartner-Straße 40, 1230 Wien",https://www.padeldome.wien/reservierung?c=2668,https://www.padeldome.wien/reservierung?c=2668,48.1362 ,16.3035 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476da99347e7a6cd:0x35fccd663a2d161b?sa=X&ved=1t:8290&ictx=111 ,2668,2668,,,
padelzone-wien-c-c-wienerberg,Padelzone Wien C&C Wienerberg,true,wien-sued,Wien Sued,indoor,eversports,Padelzone,7,"Gutheil-Schoder-Gasse 7, 1100 Wien",https://www.eversports.at/sb/padelzone-wien-or-candc-wienerberg,https://www.eversports.at/sb/padelzone-wien-or-candc-wienerberg,48.1667 ,16.3433 ,"https://www.google.com/maps?q=48.1667,16.3433 ",padelzone-wien-or-candc-wienerberg,,padelzone-wien-or-candc-wienerberg,77636,90282|90283|91073,,
padel4fun-tattendorf,Padel4Fun Tattendorf,true,bad-voeslau,Bad Voeslau,indoor,etennis,Padel4Fun,2,"Schulstraße 14, 2523 Tattendorf",https://reservierung.padel4fun.at/reservierung?c=4029,https://reservierung.padel4fun.at/reservierung?c=4029,47.9556 ,16.3003 ,"https://www.google.com/maps?q=47.9556,16.3003 ",4029,4029,,,
padeldome-erdberg,Padeldome Erdberg,true,wien-sued,Wien Sued,indoor,etennis,Padeldome,1,"Franzosengraben 2, 1030 Wien",https://www.padeldome.wien/reservierung?c=2665,https://www.padeldome.wien/reservierung?c=2665,48.1958 ,16.4146 ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x476d07574e639bbf:0x526363c0961b1a64?sa=X&ved=1t:8290&ictx=111 ,2665,2665,,,
padelzone-wr-neustadt-achtersee,Padelzone Wr. Neustadt Achtersee,true,noe-sued,NOE Sued,outdoor,eversports,Padelzone,8,"Brunner Straße 172, 2700 Wiener Neustadt ",https://www.eversports.at/sb/padelzone-wiener-neustadt-or-achtersee,https://www.eversports.at/sb/padelzone-wiener-neustadt-or-achtersee,47.8126 ,16.2438 ,"https://www.google.com/maps?q=47.8126,16.2438 ",padelzone-wiener-neustadt-or-achtersee,,padelzone-wiener-neustadt-or-achtersee,83836,112892|112893|112894|112895,,
